item_id,title,description
20,Ручка шариковая Parker Jotter,синяя паста; стержень Quinkflow; корпус из нержавеющей стали
21,Карандаш механический Pentel,толщина грифеля 0.5 мм; ластик встроенный; корпус пластиковый
22,Маркер перманентный Edding 300,черный цвет; толщина линии 1.5-3 мм; стойкость к воде и свету
23,Скрепки канцелярские 33 мм,сталь; никелированное покрытие; упаковка 100 шт
24,Скотч канцелярский 18 мм,прозрачный; длина 33 м; универсальный
25,Папка-регистратор А4,корешок 75 мм; покрытие ПВХ; арочный механизм; сменная этикетка
26,Калькулятор Citizen SDC-444S,наст29,Гантели разборные 2x10 кг,сталь; пластиковое покрытие; замки-фиксаторы; регулируемый вес
30,Коврик для йоги Reebok 6 мм,ПВХ; нескользящая поверхность; размер 173x61 см; ремень для переноски
31,Фитнес-резинки набор 5 шт,латекс; сопротивление от 5 до 25 кг; компактные; чехол в комплекте
32,Скакалка скоростная Adidas,стальной трос; регулируемая длина; подшипники; ручки с покрытием EVA
33,Эспандер кистевой Torneo,сопротивление 15 кг; пружинный механизм; ручки с антискользящим покрытием
34,Гиря чугунная 16 кг,литая конструкция; порошковое покрытие; плоское дно для устойчивости
35,Бутылка спортивная Nike 0.7 л,пластик BPA-free; герметичная крышка; удобный носик для питья
36,Ролики раздвижные Action,размер 34–37; колеса PU 72 мм; подшипники ABEC-5; алюминиевая рама
37,Мяч футбольный Adidas Tango,размер 5; PU покрытие; машинная сшивка; камера из бутилкаучука
38,Рюкзак спортивный Puma 25 л,полиэстер; одно основное отделение; боковые карманы; регулируемые лямкиольный; 12 разрядов; питание от батарейки и солнечной панели
27,Степлер Rapid Eco,скоба 24/6; до 20 листов; металлический механизм; пластиковый корпус
28,Ножницы офисные Maped,длина 210 мм; сталь; эргономичные ручки; антискользящее покрытие
29,Гантели разборные 2x10 кг,сталь; пластиковое покрытие; замки-фиксаторы; регулируемый вес
30,Коврик для йоги Reebok 6 мм,ПВХ; нескользящая поверхность; размер 173x61 см; ремень для переноски
31,Фитнес-резинки набор 5 шт,латекс; сопротивление от 5 до 25 кг; компактные; чехол в комплекте
32,Скакалка скоростная Adidas,стальной трос; регулируемая длина; подшипники; ручки с покрытием EVA
33,Эспандер кистевой Torneo,сопротивление 15 кг; пружинный механизм; ручки с антискользящим покрытием
34,Гиря чугунная 16 кг,литая конструкция; порошковое покрытие; плоское дно для устойчивости
35,Бутылка спортивная Nike 0.7 л,пластик BPA-free; герметичная крышка; удобный носик для питья
36,Ролики раздвижные Action,размер 34–37; колеса PU 72 мм; подшипники ABEC-5; алюминиевая рама
37,Мяч футбольный Adidas Tango,размер 5; PU покрытие; машинная сшивка; камера из бутилкаучука
38,Рюкзак спортивный Puma 25 л,полиэстер; одно основное отделение; боковые карманы; регулируемые лямки
39,Стол письменный IKEA MICKE,размер 105x50 см; белый цвет; ящик с доводчиком; отверстие для кабелей
40,Стул офисный Chairman 696,эргономичная спинка; регулировка высоты; тканевая обивка; колесики
41,Шкаф-купе Комфорт 2-дверный,размер 200x120x60 см; корпус ЛДСП; зеркало; цвет венге
42,Кровать двуспальная Ormatek 160x200,каркас ЛДСП; ортопедическое основание; мягкое изголовье
43,Тумба прикроватная Loft,размер 45x40x35 см; массив дуба; металлический каркас; 1 ящик
44,Полка настенная Umbra Cubist,размер 38x38 см; дерево; металлическая рамка; держатель для кашпо
45,Диван раскладной Hoff Brioni,размер 200x140 см в разложенном виде; обивка ткань; ящик для белья
46,Кресло-груша Comfy XXL,размер 120 см; наполнитель пенополистирол; обивка оксфорд; съемный чехол
47,Стеллаж металлический Praktik,5 полок; нагрузка до 100 кг на полку; порошковое покрытие; серый
48,Обеденный стол раздвижной Кантри,размер 140(+40)x80 см; МДФ; ножки массив бука; белый
39,Стол письменный IKEA MICKE,размер 105x50 см; белый цвет; ящик с доводчиком; отверстие для кабелей
40,Стул офисный Chairman 696,эргономичная спинка; регулировка высоты; тканевая обивка; колесики
41,Шкаф-купе Комфорт 2-дверный,размер 200x120x60 см; корпус ЛДСП; зеркало; цвет венге
42,Кровать двуспальная Ormatek 160x200,каркас ЛДСП; ортопедическое основание; мягкое изголовье
43,Тумба прикроватная Loft,размер 45x40x35 см; массив дуба; металлический каркас; 1 ящик
44,Полка настенная Umbra Cubist,размер 38x38 см; дерево; металлическая рамка; держатель для кашпо
45,Диван раскладной Hoff Brioni,размер 200x140 см в разложенном виде; обивка ткань; ящик для белья
46,Кресло-груша Comfy XXL,размер 120 см; наполнитель пенополистирол; обивка оксфорд; съемный чехол
47,Стеллаж металлический Praktik,5 полок; нагрузка до 100 кг на полку; порошковое покрытие; серый
48,Обеденный стол раздвижной Кантри,размер 140(+40)x80 см; МДФ; ножки массив бука; белый
